Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
211, 3251.2000000000003, 1899.52, 16.191885986328124, No
212, 3148.8, 1899.52, 16.191885986328124, No
213, 3056.64, 1899.52, 16.191885986328124, No
214, 2954.2400000000002, 1899.52, 16.191885986328124, No
215, 2851.84, 1899.52, 16.191885986328124, No
216, 2749.44, 1899.52, 16.191885986328124, No
217, 2657.28, 1899.52, 16.191885986328124, No
218, 2554.88, 1899.52, 16.191885986328124, No
219, 2452.48, 1899.52, 16.191885986328124, No
220, 2350.08, 1899.52, 16.191885986328124, No
221, 2247.68, 1899.52, 16.191885986328124, No
222, 2150.4, 1904.64, 20.48102294921875, No
223, 2053.12, 1899.52, 16.191885986328124, No
224, 1950.72, 1899.52, 16.191885986328124, No
225, 4336.64, 1889.28, 16.191885986328124, No
226, 4234.24, 1889.28, 16.191885986328124, No
227, 4142.08, 1889.28, 16.191885986328124, No
228, 4039.6800000000003, 1889.28, 16.191885986328124, No
229, 3947.52, 1889.28, 16.191885986328124, No
230, 3845.12, 1889.28, 16.191885986328124, No
231, 3747.84, 1894.4, 20.48102294921875, No
232, 3650.56, 1889.28, 16.191885986328124, No
233, 3548.16, 1889.28, 16.191885986328124, No
234, 3450.88, 1894.4, 20.48102294921875, No
235, 2247.68, 1802.24, 15.361024169921876, No
236, 1950.72, 1807.3600000000001, 16.191885986328124, No
237, 1848.32, 1807.3600000000001, 16.191885986328124, No
238, 3650.56, 1797.1200000000001, 16.191885986328124, No
239, 3548.16, 1797.1200000000001, 16.191885986328124, No
240, 3445.76, 1797.1200000000001, 16.191885986328124, No
241, 3353.6, 1797.1200000000001, 16.191885986328124, No
242, 3251.2000000000003, 1797.1200000000001, 16.191885986328124, No
243, 3148.8, 1797.1200000000001, 16.191885986328124, No
244, 3056.64, 1797.1200000000001, 16.191885986328124, No
245, 2954.2400000000002, 1797.1200000000001, 16.191885986328124, No
246, 2851.84, 1797.1200000000001, 16.191885986328124, No
247, 2749.44, 1797.1200000000001, 16.191885986328124, No
248, 2652.16, 1802.24, 20.48102294921875, No
249, 2554.88, 1797.1200000000001, 16.191885986328124, No
250, 2452.48, 1797.1200000000001, 16.191885986328124, No
251, 2350.08, 1797.1200000000001, 16.191885986328124, No
252, 2145.28, 1797.1200000000001, 16.191885986328124, No
253, 2048.0, 1802.24, 20.48102294921875, No
254, 4336.64, 1786.88, 16.191885986328124, No
255, 4234.24, 1786.88, 16.191885986328124, No
256, 4142.08, 1786.88, 16.191885986328124, No
